epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.071,0.92803,2.08455,1.94065,1.20143,0.62944,0.44745,0.43661,0.33056,0.61984,0.44348,0.42748,0.30215,0.97236,1.33357,1.77656,1.08485,0.000332526,0.000332526,0.000332526
2,444.049,0.87308,1.74161,1.32439,1.15409,0.61089,0.47907,0.47131,0.33469,0.60588,0.47074,0.46105,0.30581,1.12194,1.3188,1.73274,1.31344,0.000639492,0.000639492,0.000639492
3,654.831,0.85315,1.70788,1.22001,1.14543,0.5588,0.46724,0.45534,0.35258,0.55501,0.47185,0.45465,0.33497,1.00057,1.27814,1.7796,1.06077,0.000920057,0.000920057,0.000920057
4,868.322,0.84697,1.68573,1.12855,1.13906,0.72099,0.494,0.56798,0.46323,0.71829,0.49255,0.56081,0.435,0.83529,1.28128,1.31987,0.93659,0.0008812,0.0008812,0.0008812
5,1089.59,0.81059,1.63992,1.04546,1.1171,0.64068,0.43429,0.46856,0.3523,0.63433,0.43084,0.46184,0.32697,0.82001,1.23225,1.872,0.90261,0.0008416,0.0008416,0.0008416
6,1311.19,0.77885,1.61025,0.97407,1.10643,0.60698,0.66437,0.64627,0.50129,0.61158,0.66444,0.64234,0.47468,0.93971,1.2037,1.15704,1.02422,0.000802,0.000802,0.000802
7,1515.34,0.76131,1.58533,0.95125,1.09412,0.69959,0.60548,0.66881,0.55539,0.69857,0.60141,0.66255,0.5211,0.81126,1.19768,0.9896,0.90943,0.0007624,0.0007624,0.0007624
8,1720.95,0.75133,1.56813,0.89839,1.08608,0.57475,0.54319,0.65692,0.53742,0.56933,0.52916,0.64691,0.49413,0.77752,1.17313,1.23937,0.89379,0.0007228,0.0007228,0.0007228
9,1923.41,0.7389,1.54099,0.89188,1.0804,0.70032,0.68019,0.72427,0.60541,0.69263,0.66866,0.70944,0.56845,0.8021,1.17144,0.90346,0.89476,0.0006832,0.0006832,0.0006832
10,2128.96,0.72305,1.52671,0.86194,1.07406,0.73259,0.72978,0.73988,0.61795,0.73223,0.72239,0.72982,0.57796,0.75392,1.15255,0.88276,0.86691,0.0006436,0.0006436,0.0006436
11,2333.75,0.71202,1.48945,0.83142,1.07045,0.73648,0.71103,0.74687,0.63523,0.73425,0.70239,0.73684,0.592,0.7671,1.16241,1.00292,0.86452,0.000604,0.000604,0.000604
12,2555.5,0.70263,1.48638,0.82227,1.06432,0.66665,0.74062,0.75422,0.62868,0.67554,0.74007,0.75032,0.5863,0.76255,1.13237,0.84137,0.88709,0.0005644,0.0005644,0.0005644
13,2769.11,0.70806,1.47828,0.82043,1.06525,0.76555,0.70872,0.77373,0.64406,0.76275,0.70353,0.76416,0.6013,0.73858,1.12908,0.87049,0.84286,0.0005248,0.0005248,0.0005248
14,2976.51,0.69272,1.46576,0.79271,1.05991,0.75246,0.70809,0.748,0.63204,0.75238,0.70419,0.74075,0.5906,0.72848,1.11955,0.89389,0.83575,0.0004852,0.0004852,0.0004852
15,3185.49,0.67986,1.43129,0.77547,1.05482,0.73774,0.72631,0.76297,0.64394,0.72904,0.71795,0.75139,0.60156,0.76392,1.11578,0.77984,0.87113,0.0004456,0.0004456,0.0004456
16,3365.61,0.86668,1.72519,0.89841,1.14043,0.75908,0.71049,0.75525,0.63472,0.7528,0.70444,0.74588,0.58793,0.69923,1.11162,0.80789,0.80885,0.000406,0.000406,0.000406
17,3543.1,0.84802,1.7068,0.8656,1.12768,0.71313,0.67843,0.74926,0.63944,0.70881,0.67496,0.74012,0.59643,0.68267,1.09051,0.75275,0.79345,0.0003664,0.0003664,0.0003664
18,3717.05,0.84089,1.6908,0.84154,1.12233,0.74338,0.73998,0.78456,0.66224,0.73347,0.73332,0.77347,0.61665,0.67818,1.0855,0.73082,0.79598,0.0003268,0.0003268,0.0003268
19,3896.2,0.81584,1.64407,0.79678,1.1076,0.72986,0.7381,0.78328,0.66852,0.73684,0.73062,0.77647,0.62341,0.66998,1.06283,0.72275,0.77953,0.0002872,0.0002872,0.0002872
20,4083.07,0.80758,1.63385,0.78526,1.10596,0.73708,0.74914,0.77902,0.66529,0.73395,0.74657,0.77358,0.62479,0.66681,1.04793,0.71319,0.77662,0.0002476,0.0002476,0.0002476
21,4265.38,0.79113,1.60223,0.7738,1.0967,0.7632,0.7568,0.79279,0.67212,0.76048,0.75334,0.78454,0.62536,0.68017,1.05476,0.74985,0.79876,0.000208,0.000208,0.000208
22,4446.06,0.80024,1.61035,0.76361,1.09751,0.76191,0.78445,0.80539,0.69079,0.75837,0.77842,0.79753,0.64559,0.6504,1.03963,0.67803,0.76625,0.0001684,0.0001684,0.0001684
23,4623.63,0.77266,1.56806,0.73461,1.08346,0.76812,0.75747,0.80177,0.68644,0.76863,0.75052,0.79582,0.64095,0.64596,1.04006,0.67384,0.76902,0.0001288,0.0001288,0.0001288
24,4799.18,0.75101,1.52778,0.70526,1.07196,0.77573,0.78832,0.81574,0.6943,0.77519,0.78067,0.80506,0.64826,0.64529,1.04044,0.6633,0.75818,8.92e-05,8.92e-05,8.92e-05
25,4977.21,0.75268,1.52978,0.70316,1.07503,0.78927,0.77399,0.81928,0.70316,0.79347,0.7636,0.80988,0.65354,0.64318,1.03047,0.65099,0.76282,4.96e-05,4.96e-05,4.96e-05
