epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.7969,1.51984,3.07719,2.23178,1.46948,0.3581,0.30371,0.24901,0.11505,0.22605,0.17788,0.09196,0.0284,1.75738,5.66034,2.41135,1.75031,0.0671765,0.000331551,0.000331551
2,152.56,1.52197,2.78732,1.89634,1.47803,0.39242,0.47509,0.37528,0.20953,0.38102,0.40388,0.32606,0.14194,1.49627,2.69773,2.00735,1.51391,0.0341699,0.000658302,0.000658302
3,223.975,1.51817,2.7401,1.84593,1.47806,0.57656,0.48754,0.52825,0.30167,0.54001,0.4514,0.46071,0.20244,1.48041,2.51693,1.67951,1.53519,0.00115671,0.000978453,0.000978453
4,296.577,1.50815,2.69152,1.79162,1.47072,0.61166,0.57186,0.59004,0.32017,0.55291,0.59021,0.54469,0.27309,1.43301,2.29739,1.5679,1.48264,0.0009703,0.0009703,0.0009703
5,367.405,1.4629,2.60067,1.71891,1.44751,0.65342,0.59246,0.65166,0.38031,0.66807,0.54985,0.5873,0.28941,1.35401,2.16773,1.45898,1.43727,0.0009604,0.0009604,0.0009604
6,439.323,1.42863,2.52833,1.65548,1.43218,0.65601,0.55976,0.61476,0.36134,0.63532,0.54228,0.57017,0.28865,1.40824,2.21792,1.47326,1.47645,0.0009505,0.0009505,0.0009505
7,511.325,1.42137,2.50169,1.64234,1.41139,0.66094,0.60465,0.6235,0.38145,0.61061,0.57338,0.55424,0.27543,1.36934,2.26655,1.41402,1.46886,0.0009406,0.0009406,0.0009406
8,582.991,1.39226,2.47869,1.59904,1.39157,0.65841,0.60176,0.64266,0.37702,0.65956,0.56696,0.59787,0.31889,1.36017,2.07361,1.36784,1.43771,0.0009307,0.0009307,0.0009307
9,655.016,1.35423,2.3737,1.54811,1.37258,0.67121,0.63443,0.66782,0.42348,0.67695,0.61176,0.63669,0.34928,1.27249,2.00398,1.33186,1.40766,0.0009208,0.0009208,0.0009208
10,726.979,1.34675,2.38386,1.54899,1.37578,0.68727,0.65345,0.68487,0.43155,0.67549,0.63429,0.64629,0.36058,1.25692,1.88226,1.28575,1.37029,0.0009109,0.0009109,0.0009109
11,798.802,1.3144,2.34142,1.51027,1.34848,0.6569,0.57522,0.64035,0.39422,0.66898,0.55565,0.61913,0.33151,1.29161,1.97995,1.38279,1.41317,0.000901,0.000901,0.000901
12,871.267,1.31644,2.32224,1.48692,1.34764,0.6919,0.65532,0.68259,0.43706,0.66649,0.61428,0.61648,0.33586,1.263,1.90999,1.30669,1.38195,0.0008911,0.0008911,0.0008911
13,942.878,1.31904,2.34922,1.47504,1.34359,0.69484,0.63737,0.70002,0.44224,0.68695,0.61234,0.65748,0.35202,1.2222,1.97442,1.29148,1.35705,0.0008812,0.0008812,0.0008812
14,1014.96,1.28746,2.27279,1.45442,1.34336,0.62139,0.59232,0.61751,0.38899,0.61753,0.55512,0.56972,0.29857,1.33998,2.11154,1.3677,1.44954,0.0008713,0.0008713,0.0008713
